fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-70.1695716755,-93.0830204671,-22.9134487916,50,41,-77.9138945411,0,0
-72.038411629,-95.8540677399,-23.8156561109,52,24,-84.4341867947,0,0
-69.1403635799,-92.580478396,-23.4401148161,52,29,-79.892403622,0,0
-69.4284420247,-93.2895055386,-23.8610635139,53,13,-87.1495749786,0,0
-70.2532159949,-94.1303739723,-23.8771579773,50,14,-87.3306552813,0,0
-69.5501762512,-93.576870736,-24.0266944848,51,6,-89.5501762512,0,0
-69.4956985226,-92.7833882333,-23.2876897107,50,0,-89.4956985226,0,0
-73.7933272119,-95.8540677399,-22.060740528,52,74,-76.4086928173,0,46
-71.4561336965,-91.8282251818,-20.3720914853,53,73,-74.1896764941,0,0
-71.4368766164,-92.5455775391,-21.1087009226,47,76,-73.8206047708,0,0
-70.2142603576,-92.0974316003,-21.8831712427,52,72,-73.0676104289,0,46
-71.2289715052,-92.4118150453,-21.1828435401,51,69,-74.4519896904,0,0
-70.7109556903,-92.2024759769,-21.4915202867,54,79,-72.7584138644,0,0
-72.9155755446,-95.3425425154,-22.4269669708,52,78,-75.0736834908,0,46
-70.6291514133,-92.0643331239,-21.4351817106,49,78,-72.7872593595,0,58
-70.2755810255,-92.2024759769,-21.9268949514,54,76,-72.6593091799,0,58
-70.017549165,-92.0974316003,-22.0798824353,52,78,-72.1756571112,0,0
-71.2929796062,-92.0974316003,-20.804451994,52,75,-73.7917543384,0,58
-69.7202719411,-91.7023686821,-21.982096741,47,72,-72.5736220125,0,58
-70.0780932842,-91.8746676532,-21.7965743689,52,71,-73.0529263099,0,0
-70.4667520473,-91.6627746625,-21.1960226152,52,72,-73.3201021187,0,58
-70.0244549369,-92.1485256581,-22.1240707212,48,76,-72.4081830913,0,58
-69.6618567508,-91.8746676532,-22.2128109024,52,79,-71.709314925,0,0
-70.0055633712,-92.2398116101,-22.2342482388,50,79,-72.0530215454,0,58
-70.5181766969,-92.580478396,-22.0623016991,52,80,-72.4563769571,0,58
-70.0681874886,-91.8746676532,-21.8064801646,52,62,-74.2203536986,0,0
-69.4133891114,-91.9915757728,-22.5781866614,50,71,-72.3882221371,0,0
-70.4357131908,-92.3322425588,-21.896529368,52,79,-72.4831713649,0,0
-70.7815100037,-92.580478396,-21.7989683923,52,71,-73.7563430293,0,0
-70.1800579338,-91.6627746625,-21.4827167287,52,69,-73.403076119,0,46
-70.1068225889,-92.4976930781,-22.3908704892,53,77,-72.3770080855,0,0
-70.9705459716,-92.1485256581,-21.1779796865,48,74,-73.585911577,0,0
-73.131939215,-94.4710407582,-21.3391015433,52,81,-74.9622388374,0,46
-71.5365726809,-92.2398116101,-20.7032389292,50,71,-74.5114057065,0,0
-70.6199777019,-91.9905829862,-21.3706052843,54,70,-73.7180169016,0,0
-70.3812630738,-91.8746676532,-21.4934045793,52,80,-72.319463334,0,46
-70.6074389784,-92.0401181725,-21.4326791941,53,71,-73.5822720041,0,0
-70.2540934161,-91.9905829862,-21.7364895702,54,72,-73.1074434875,0,0
-70.6885513471,-94.0931551493,-23.4046038022,52,77,-72.9587368437,0,46
-69.9242048737,-93.7524883634,-23.8282834897,50,71,-72.8990378993,0,0
-69.5606407924,-93.171576107,-23.6109353146,54,81,-71.3909404149,0,0
-69.8032582891,-93.1240550193,-23.3207967302,52,78,-71.9613662353,0,46
-69.7999807819,-93.576870736,-23.7768899541,51,72,-72.6533308533,0,0
-71.9927670159,-92.3276225111,-20.3348554953,49,71,-74.9676000415,0,0
-70.2098515109,-91.8746676532,-21.6648161423,52,83,-71.8282896633,0,46
-69.6433187943,-91.9287682496,-22.2854494552,51,76,-72.0270469487,0,0
-70.1176193197,-92.3276225111,-22.2100031914,49,78,-72.2757272659,0,0
-70.2870211445,-91.8746676532,-21.5876465087,52,68,-73.6368428904,0,46
-70.2553466837,-92.0974316003,-21.8420849166,52,68,-73.6051684296,0,46
-70.0045315784,-92.0974316003,-22.0929000219,52,75,-72.5033063106,0,46
-70.0948522778,-92.2398116101,-22.1449593323,50,73,-72.8283950753,0,0
-70.2662717621,-92.5455775391,-22.2793057769,47,71,-73.2411047878,0,0
-69.7299014714,-91.8746676532,-22.1447661818,52,71,-72.704734497,0,46
-69.8612699571,-91.9781922651,-22.116922308,60,71,-72.8361029827,0,0
-70.3630557048,-92.163579208,-21.8005235033,51,71,-73.3378887304,0,0
-70.479674966,-92.2628821196,-21.7832071537,53,82,-72.2033979183,0,0
-69.5861262909,-91.8746676532,-22.2885413622,52,72,-72.4394763623,0,46
-69.7535401049,-92.163579208,-22.4100391031,51,79,-71.8009982791,0,0
-69.7155615677,-92.0974316003,-22.3818700326,52,73,-72.4491043653,0,0
-69.3272485217,-91.8746676532,-22.5474191315,52,77,-71.5974340182,0,46
-70.0051237093,-92.3322425588,-22.3271188494,52,74,-72.6204893147,0,0
-70.3136224084,-92.0974316003,-21.7838091919,52,74,-72.9289880138,0,0
-70.2908335786,-91.8746676532,-21.5838340745,52,79,-72.3382917528,0,46
-70.1932384935,-92.163579208,-21.9703407145,51,79,-72.2406966677,0,0
-70.210147631,-92.163579208,-21.953431577,51,75,-72.7089223632,0,0
-73.3125482926,-95.8540677399,-22.5415194473,52,80,-75.2507485528,0,46
-70.021369504,-92.0974316003,-22.0760620962,52,77,-72.2915550006,0,46
-70.0305684958,-92.3322425588,-22.301674063,52,73,-72.7641112934,0,0
-69.6748042953,-91.9915757728,-22.3167714775,50,74,-72.2901699007,0,0
-69.9580738262,-91.8746676532,-21.916593827,52,73,-72.6916166238,0,46
-70.0850513276,-92.163579208,-22.0785278804,51,68,-73.4348730735,0,0
-69.87037743,-91.7885491254,-21.9181716953,54,68,-73.2201991759,0,46
-69.6373817798,-91.6627746625,-22.0253928827,52,75,-72.136156512,0,0
-69.3192861419,-91.8852362709,-22.565950129,48,77,-71.5894716384,0,46
